concept:name,case:concept:name,time:timestamp
Notify Result Appeal to Offender,A12414,2007-12-20 23:00:00+00:00
Appeal to Judge,A12414,2008-01-20 23:00:00+00:00
Create Fine,A127,2006-08-01 22:00:00+00:00
Payment,A127,2006-08-03 22:00:00+00:00
Send Fine,A127,2006-12-11 23:00:00+00:00
Create Fine,A12991,2007-06-01 22:00:00+00:00
Send Fine,A12991,2007-08-19 22:00:00+00:00
Insert Fine Notification,A12991,2007-08-27 22:00:00+00:00
Add penalty,A12991,2007-10-26 22:00:00+00:00
Payment,A12991,2007-12-26 23:00:00+00:00
Payment,A12991,2008-01-17 23:00:00+00:00
Payment,A12991,2008-03-11 23:00:00+00:00
Create Fine,A13617,2007-06-14 22:00:00+00:00
Send Fine,A13617,2007-08-21 22:00:00+00:00
Insert Fine Notification,A13617,2007-09-02 22:00:00+00:00
Insert Date Appeal to Prefecture,A13617,2007-09-19 22:00:00+00:00
Send Appeal to Prefecture,A13617,2007-10-29 23:00:00+00:00
Add penalty,A13617,2007-11-01 23:00:00+00:00
Receive Result Appeal from Prefecture,A13617,2007-11-08 23:00:00+00:00
Notify Result Appeal to Offender,A13617,2007-11-16 23:00:00+00:00
Send for Credit Collection,A13617,2009-03-29 22:00:00+00:00
Create Fine,A13984,2007-06-15 22:00:00+00:00
Send Fine,A13984,2007-08-21 22:00:00+00:00
Insert Fine Notification,A13984,2007-08-27 22:00:00+00:00
Add penalty,A13984,2007-10-26 22:00:00+00:00
Insert Date Appeal to Prefecture,A13984,2008-08-21 22:00:00+00:00
Receive Result Appeal from Prefecture,A13984,2008-09-05 22:00:00+00:00
Notify Result Appeal to Offender,A13984,2008-09-15 22:00:00+00:00
Payment,A13984,2009-08-05 22:00:00+00:00
Payment,A13984,2010-03-14 23:00:00+00:00
Create Fine,A14194,2007-06-20 22:00:00+00:00
Send Fine,A14194,2007-10-30 23:00:00+00:00
Insert Date Appeal to Prefecture,A14194,2007-11-12 23:00:00+00:00
Insert Fine Notification,A14194,2007-11-12 23:00:00+00:00
Add penalty,A14194,2008-01-11 23:00:00+00:00
Payment,A14194,2008-10-09 22:00:00+00:00
Create Fine,A14727,2007-06-26 22:00:00+00:00
Send Fine,A14727,2007-09-12 22:00:00+00:00
Insert Fine Notification,A14727,2007-10-03 22:00:00+00:00
Appeal to Judge,A14727,2007-10-08 22:00:00+00:00
Add penalty,A14727,2007-12-02 23:00:00+00:00
Payment,A14727,2009-08-16 22:00:00+00:00
Create Fine,A15064,2007-06-04 22:00:00+00:00
Send Fine,A15064,2007-08-19 22:00:00+00:00
Insert Fine Notification,A15064,2007-09-03 22:00:00+00:00
Add penalty,A15064,2007-11-02 23:00:00+00:00
Receive Result Appeal from Prefecture,A15064,2008-01-30 23:00:00+00:00
Notify Result Appeal to Offender,A15064,2008-02-29 23:00:00+00:00
Payment,A15064,2008-03-31 22:00:00+00:00
Create Fine,A1516,2006-08-12 22:00:00+00:00
Send Fine,A1516,2006-12-12 23:00:00+00:00
Insert Fine Notification,A1516,2006-12-29 23:00:00+00:00
Appeal to Judge,A1516,2007-01-04 23:00:00+00:00
Add penalty,A1516,2007-02-27 23:00:00+00:00
Send for Credit Collection,A1516,2009-03-29 22:00:00+00:00
Create Fine,A15202,2007-07-31 22:00:00+00:00
Send Fine,A15202,2007-12-09 23:00:00+00:00
Insert Fine Notification,A15202,2007-12-26 23:00:00+00:00
Insert Date Appeal to Prefecture,A15202,2008-01-06 23:00:00+00:00
Send Appeal to Prefecture,A15202,2008-02-07 23:00:00+00:00
Add penalty,A15202,2008-02-24 23:00:00+00:00
Receive Result Appeal from Prefecture,A15202,2008-02-28 23:00:00+00:00
Notify Result Appeal to Offender,A15202,2008-03-11 23:00:00+00:00
Payment,A15202,2008-04-03 22:00:00+00:00
Create Fine,A1582,2006-08-10 22:00:00+00:00
Send Fine,A1582,2006-12-12 23:00:00+00:00
Insert Fine Notification,A1582,2007-01-01 23:00:00+00:00
Insert Date Appeal to Prefecture,A1582,2007-01-16 23:00:00+00:00
Add penalty,A1582,2007-03-02 23:00:00+00:00
Receive Result Appeal from Prefecture,A1582,2007-03-18 23:00:00+00:00
Notify Result Appeal to Offender,A1582,2007-04-10 22:00:00+00:00
Appeal to Judge,A1582,2007-04-23 22:00:00+00:00
Create Fine,A15866,2007-09-07 22:00:00+00:00
Send Fine,A15866,2007-12-26 23:00:00+00:00
Insert Fine Notification,A15866,2008-01-07 23:00:00+00:00
Insert Date Appeal to Prefecture,A15866,2008-01-14 23:00:00+00:00
Send Appeal to Prefecture,A15866,2008-02-19 23:00:00+00:00
Receive Result Appeal from Prefecture,A15866,2008-02-26 23:00:00+00:00
Notify Result Appeal to Offender,A15866,2008-03-04 23:00:00+00:00
Add penalty,A15866,2008-03-07 23:00:00+00:00
Payment,A15866,2008-03-25 23:00:00+00:00
Create Fine,A15873,2007-09-09 22:00:00+00:00
Send Fine,A15873,2007-12-26 23:00:00+00:00
Insert Fine Notification,A15873,2008-01-04 23:00:00+00:00
Insert Date Appeal to Prefecture,A15873,2008-03-03 23:00:00+00:00
Add penalty,A15873,2008-03-04 23:00:00+00:00
Send Appeal to Prefecture,A15873,2008-04-07 22:00:00+00:00
Receive Result Appeal from Prefecture,A15873,2008-06-10 22:00:00+00:00
Notify Result Appeal to Offender,A15873,2008-06-15 22:00:00+00:00
Send for Credit Collection,A15873,2010-10-14 22:00:00+00:00
Create Fine,A16141,2007-10-14 22:00:00+00:00
Send Fine,A16141,2008-01-17 23:00:00+00:00
Insert Fine Notification,A16141,2008-01-29 23:00:00+00:00
Add penalty,A16141,2008-03-29 23:00:00+00:00
Insert Date Appeal to Prefecture,A16141,2008-07-14 22:00:00+00:00
Send Appeal to Prefecture,A16141,2008-08-31 22:00:00+00:00
Receive Result Appeal from Prefecture,A16141,2008-09-10 22:00:00+00:00
Notify Result Appeal to Offender,A16141,2008-09-16 22:00:00+00:00
Appeal to Judge,A16141,2008-10-01 22:00:00+00:00
Create Fine,A16980,2007-07-07 22:00:00+00:00
Send Fine,A16980,2007-09-12 22:00:00+00:00
Insert Date Appeal to Prefecture,A16980,2008-08-05 22:00:00+00:00
Send Appeal to Prefecture,A16980,2008-12-14 23:00:00+00:00
Create Fine,A17158,2007-07-30 22:00:00+00:00
Send Fine,A17158,2007-12-09 23:00:00+00:00
Insert Fine Notification,A17158,2007-12-26 23:00:00+00:00
Appeal to Judge,A17158,2008-02-12 23:00:00+00:00
Insert Date Appeal to Prefecture,A17158,2008-02-14 23:00:00+00:00
Add penalty,A17158,2008-02-24 23:00:00+00:00
Send Appeal to Prefecture,A17158,2011-12-24 23:00:00+00:00
Create Fine,A18359,2007-07-13 22:00:00+00:00
Payment,A18359,2007-08-15 22:00:00+00:00
Payment,A18359,2008-02-19 23:00:00+00:00
Create Fine,A189,2006-08-05 22:00:00+00:00
Send Fine,A189,2006-12-12 23:00:00+00:00
Insert Fine Notification,A189,2007-01-12 23:00:00+00:00
Add penalty,A189,2007-03-13 23:00:00+00:00
Receive Result Appeal from Prefecture,A189,2007-09-17 22:00:00+00:00
Notify Result Appeal to Offender,A189,2007-10-19 22:00:00+00:00
Create Fine,A20157,2007-09-16 22:00:00+00:00
Send Fine,A20157,2008-01-17 23:00:00+00:00
Insert Fine Notification,A20157,2008-01-27 23:00:00+00:00
Insert Date Appeal to Prefecture,A20157,2008-01-31 23:00:00+00:00
Send Appeal to Prefecture,A20157,2008-03-02 23:00:00+00:00
Receive Result Appeal from Prefecture,A20157,2008-03-26 23:00:00+00:00
Add penalty,A20157,2008-03-27 23:00:00+00:00
Notify Result Appeal to Offender,A20157,2008-03-31 22:00:00+00:00
Payment,A20157,2008-05-28 22:00:00+00:00
Create Fine,A2042,2006-08-17 22:00:00+00:00
Send Fine,A2042,2006-12-13 23:00:00+00:00
Insert Fine Notification,A2042,2006-12-21 23:00:00+00:00
Payment,A2042,2007-01-14 23:00:00+00:00
Add penalty,A2042,2007-02-19 23:00:00+00:00
Send for Credit Collection,A2042,2009-03-29 22:00:00+00:00
Create Fine,A2090,2006-09-13 22:00:00+00:00
Send Fine,A2090,2006-12-28 23:00:00+00:00
Insert Fine Notification,A2090,2007-01-07 23:00:00+00:00
Add penalty,A2090,2007-03-08 23:00:00+00:00
Insert Date Appeal to Prefecture,A2090,2007-04-11 22:00:00+00:00
Send Appeal to Prefecture,A2090,2007-05-31 22:00:00+00:00
Receive Result Appeal from Prefecture,A2090,2007-08-06 22:00:00+00:00
Notify Result Appeal to Offender,A2090,2007-08-15 22:00:00+00:00
Send for Credit Collection,A2090,2009-03-29 22:00:00+00:00
Create Fine,A23552,2007-10-20 22:00:00+00:00
Send Fine,A23552,2008-01-17 23:00:00+00:00
Insert Fine Notification,A23552,2008-01-30 23:00:00+00:00
Add penalty,A23552,2008-03-30 22:00:00+00:00
Insert Date Appeal to Prefecture,A23552,2008-04-01 22:00:00+00:00
Receive Result Appeal from Prefecture,A23552,2008-05-29 22:00:00+00:00
Notify Result Appeal to Offender,A23552,2008-06-12 22:00:00+00:00
Payment,A23552,2009-09-11 22:00:00+00:00
Create Fine,A2405,2006-08-20 22:00:00+00:00
Send Fine,A2405,2006-12-13 23:00:00+00:00
Payment,A2405,2007-01-09 23:00:00+00:00
Payment,A2405,2007-02-06 23:00:00+00:00
Create Fine,A24141,2007-12-21 23:00:00+00:00
Send Fine,A24141,2008-02-29 23:00:00+00:00
Insert Fine Notification,A24141,2008-03-09 23:00:00+00:00
Add penalty,A24141,2008-05-08 22:00:00+00:00
Insert Date Appeal to Prefecture,A24141,2008-06-10 22:00:00+00:00
Payment,A24141,2008-10-15 22:00:00+00:00
Receive Result Appeal from Prefecture,A24141,2008-11-04 23:00:00+00:00
Payment,A24141,2008-11-18 23:00:00+00:00
Create Fine,A24549,2008-02-22 23:00:00+00:00
Send Fine,A24549,2008-06-03 22:00:00+00:00
Insert Fine Notification,A24549,2008-06-08 22:00:00+00:00
Add penalty,A24549,2008-08-07 22:00:00+00:00
Insert Date Appeal to Prefecture,A24549,2008-08-25 22:00:00+00:00
Receive Result Appeal from Prefecture,A24549,2008-10-07 22:00:00+00:00
Notify Result Appeal to Offender,A24549,2008-10-13 22:00:00+00:00
Send for Credit Collection,A24549,2010-10-14 22:00:00+00:00
Send Appeal to Prefecture,A24549,2011-12-24 23:00:00+00:00
Create Fine,A2512,2006-09-03 22:00:00+00:00
Send Fine,A2512,2006-12-14 23:00:00+00:00
Insert Fine Notification,A2512,2006-12-22 23:00:00+00:00
Add penalty,A2512,2007-02-20 23:00:00+00:00
Notify Result Appeal to Offender,A2512,2007-10-05 22:00:00+00:00
Receive Result Appeal from Prefecture,A2512,2007-10-05 22:00:00+00:00
Send for Credit Collection,A2512,2009-03-29 22:00:00+00:00
Create Fine,A25436,2008-06-07 22:00:00+00:00
Send Fine,A25436,2008-07-29 22:00:00+00:00
Payment,A25436,2008-07-31 22:00:00+00:00
Insert Fine Notification,A25436,2008-08-04 22:00:00+00:00
Add penalty,A25436,2008-10-03 22:00:00+00:00
Send for Credit Collection,A25436,2010-10-14 22:00:00+00:00
Create Fine,A26532,2007-12-29 23:00:00+00:00
Send Fine,A26532,2008-02-29 23:00:00+00:00
Insert Fine Notification,A26532,2008-03-09 23:00:00+00:00
Insert Date Appeal to Prefecture,A26532,2008-03-26 23:00:00+00:00
Send Appeal to Prefecture,A26532,2008-04-22 22:00:00+00:00
Receive Result Appeal from Prefecture,A26532,2008-04-29 22:00:00+00:00
Notify Result Appeal to Offender,A26532,2008-05-04 22:00:00+00:00
Add penalty,A26532,2008-05-08 22:00:00+00:00
Send for Credit Collection,A26532,2009-03-29 22:00:00+00:00
Create Fine,A26902,2008-06-24 22:00:00+00:00
Send Fine,A26902,2008-09-02 22:00:00+00:00
Insert Fine Notification,A26902,2008-09-07 22:00:00+00:00
Insert Date Appeal to Prefecture,A26902,2008-09-28 22:00:00+00:00
Add penalty,A26902,2008-11-06 23:00:00+00:00
Send Appeal to Prefecture,A26902,2008-11-27 23:00:00+00:00
Receive Result Appeal from Prefecture,A26902,2009-02-11 23:00:00+00:00
Notify Result Appeal to Offender,A26902,2009-02-19 23:00:00+00:00
Appeal to Judge,A26902,2009-03-12 23:00:00+00:00
Payment,A26902,2009-03-16 23:00:00+00:00
Create Fine,A28658,2008-03-31 22:00:00+00:00
Send Fine,A28658,2008-06-04 22:00:00+00:00
Insert Date Appeal to Prefecture,A28658,2008-06-12 22:00:00+00:00
Insert Fine Notification,A28658,2008-06-22 22:00:00+00:00
Add penalty,A28658,2008-08-21 22:00:00+00:00
Send Appeal to Prefecture,A28658,2011-12-24 23:00:00+00:00
Create Fine,A29455,2008-06-24 22:00:00+00:00
Send Fine,A29455,2008-09-02 22:00:00+00:00
Insert Fine Notification,A29455,2008-09-10 22:00:00+00:00
Insert Date Appeal to Prefecture,A29455,2008-09-15 22:00:00+00:00
Send Appeal to Prefecture,A29455,2008-10-16 22:00:00+00:00
Receive Result Appeal from Prefecture,A29455,2008-11-05 23:00:00+00:00
Add penalty,A29455,2008-11-09 23:00:00+00:00
Notify Result Appeal to Offender,A29455,2008-11-12 23:00:00+00:00
Appeal to Judge,A29455,2008-12-14 23:00:00+00:00
Send for Credit Collection,A29455,2012-03-25 22:00:00+00:00
Create Fine,A30270,2008-07-17 22:00:00+00:00
Send Fine,A30270,2008-10-10 22:00:00+00:00
Insert Fine Notification,A30270,2008-11-07 23:00:00+00:00
Insert Date Appeal to Prefecture,A30270,2009-01-01 23:00:00+00:00
Add penalty,A30270,2009-01-06 23:00:00+00:00
Payment,A30270,2010-03-11 23:00:00+00:00
Create Fine,A31588,2008-06-13 22:00:00+00:00
Send Fine,A31588,2008-07-29 22:00:00+00:00
Insert Fine Notification,A31588,2008-08-07 22:00:00+00:00
Add penalty,A31588,2008-10-06 22:00:00+00:00
Appeal to Judge,A31588,2008-10-27 23:00:00+00:00
Create Fine,A32162,2008-06-17 22:00:00+00:00
Send Fine,A32162,2008-09-02 22:00:00+00:00
Insert Fine Notification,A32162,2008-09-12 22:00:00+00:00
Add penalty,A32162,2008-11-11 23:00:00+00:00
Insert Date Appeal to Prefecture,A32162,2008-11-16 23:00:00+00:00
Send Appeal to Prefecture,A32162,2009-01-07 23:00:00+00:00
Receive Result Appeal from Prefecture,A32162,2009-02-02 23:00:00+00:00
Notify Result Appeal to Offender,A32162,2009-02-06 23:00:00+00:00
Create Fine,A32224,2008-07-19 22:00:00+00:00
Send Fine,A32224,2008-10-10 22:00:00+00:00
Insert Fine Notification,A32224,2008-10-19 22:00:00+00:00
Insert Date Appeal to Prefecture,A32224,2008-11-06 23:00:00+00:00
Send Appeal to Prefecture,A32224,2008-12-14 23:00:00+00:00
Add penalty,A32224,2008-12-18 23:00:00+00:00
Receive Result Appeal from Prefecture,A32224,2009-02-05 23:00:00+00:00
Notify Result Appeal to Offender,A32224,2009-02-12 23:00:00+00:00
Appeal to Judge,A32224,2009-03-09 23:00:00+00:00
Create Fine,A32727,2008-07-07 22:00:00+00:00
Send Fine,A32727,2008-09-10 22:00:00+00:00
Insert Date Appeal to Prefecture,A32727,2008-09-22 22:00:00+00:00
Insert Fine Notification,A32727,2008-09-22 22:00:00+00:00
Add penalty,A32727,2008-11-21 23:00:00+00:00
Send Appeal to Prefecture,A32727,2008-12-14 23:00:00+00:00
Receive Result Appeal from Prefecture,A32727,2009-02-03 23:00:00+00:00
Notify Result Appeal to Offender,A32727,2009-02-06 23:00:00+00:00
Send for Credit Collection,A32727,2010-10-14 22:00:00+00:00
Create Fine,A3350,2006-09-10 22:00:00+00:00
Send Fine,A3350,2006-12-28 23:00:00+00:00
Insert Fine Notification,A3350,2007-01-07 23:00:00+00:00
Insert Date Appeal to Prefecture,A3350,2007-03-07 23:00:00+00:00
Add penalty,A3350,2007-03-08 23:00:00+00:00
Receive Result Appeal from Prefecture,A3350,2007-07-31 22:00:00+00:00
Notify Result Appeal to Offender,A3350,2007-08-10 22:00:00+00:00
Send for Credit Collection,A3350,2009-03-29 22:00:00+00:00
Send Appeal to Prefecture,A3350,2011-12-24 23:00:00+00:00
Create Fine,A34030,2008-08-02 22:00:00+00:00
Send Fine,A34030,2008-10-20 22:00:00+00:00
Insert Fine Notification,A34030,2008-11-06 23:00:00+00:00
Add penalty,A34030,2009-01-05 23:00:00+00:00
Appeal to Judge,A34030,2009-03-26 23:00:00+00:00
Send for Credit Collection,A34030,2012-03-25 22:00:00+00:00
Create Fine,A35349,2008-10-30 23:00:00+00:00
Send Fine,A35349,2009-01-13 23:00:00+00:00
Insert Fine Notification,A35349,2009-01-23 23:00:00+00:00
Add penalty,A35349,2009-03-24 23:00:00+00:00
Insert Date Appeal to Prefecture,A35349,2009-04-05 22:00:00+00:00
Send Appeal to Prefecture,A35349,2009-05-03 22:00:00+00:00
Receive Result Appeal from Prefecture,A35349,2009-09-14 22:00:00+00:00
Create Fine,A37341,2008-11-05 23:00:00+00:00
Send Fine,A37341,2009-03-31 22:00:00+00:00
Insert Fine Notification,A37341,2009-04-07 22:00:00+00:00
Receive Result Appeal from Prefecture,A37341,2009-06-04 22:00:00+00:00
Add penalty,A37341,2009-06-06 22:00:00+00:00
Notify Result Appeal to Offender,A37341,2009-06-15 22:00:00+00:00
Payment,A37341,2009-07-05 22:00:00+00:00
Create Fine,A43211,2009-06-02 22:00:00+00:00
Send Fine,A43211,2009-07-28 22:00:00+00:00
Insert Fine Notification,A43211,2009-08-04 22:00:00+00:00
Insert Date Appeal to Prefecture,A43211,2009-09-01 22:00:00+00:00
Add penalty,A43211,2009-10-03 22:00:00+00:00
Receive Result Appeal from Prefecture,A43211,2010-03-07 23:00:00+00:00
Notify Result Appeal to Offender,A43211,2010-03-19 23:00:00+00:00
Create Fine,A43302,2009-06-17 22:00:00+00:00
Send Fine,A43302,2009-09-17 22:00:00+00:00
Insert Fine Notification,A43302,2009-09-27 22:00:00+00:00
Insert Date Appeal to Prefecture,A43302,2009-10-08 22:00:00+00:00
Add penalty,A43302,2009-11-26 23:00:00+00:00
Receive Result Appeal from Prefecture,A43302,2010-03-07 23:00:00+00:00
Notify Result Appeal to Offender,A43302,2010-03-15 23:00:00+00:00
Send Appeal to Prefecture,A43302,2011-12-24 23:00:00+00:00
Send for Credit Collection,A43302,2012-03-25 22:00:00+00:00
Create Fine,A44928,2009-08-01 22:00:00+00:00
Send Fine,A44928,2009-12-08 23:00:00+00:00
Insert Fine Notification,A44928,2009-12-15 23:00:00+00:00
Insert Date Appeal to Prefecture,A44928,2010-01-21 23:00:00+00:00
Add penalty,A44928,2010-02-13 23:00:00+00:00
Send Appeal to Prefecture,A44928,2010-06-03 22:00:00+00:00
Receive Result Appeal from Prefecture,A44928,2010-09-20 22:00:00+00:00
Appeal to Judge,A44928,2010-09-26 22:00:00+00:00
Notify Result Appeal to Offender,A44928,2010-10-01 22:00:00+00:00
Payment,A44928,2010-11-25 23:00:00+00:00
Create Fine,A590,2006-08-21 22:00:00+00:00
Send Fine,A590,2006-12-13 23:00:00+00:00
Insert Fine Notification,A590,2006-12-21 23:00:00+00:00
Add penalty,A590,2007-02-19 23:00:00+00:00
Appeal to Judge,A590,2007-02-25 23:00:00+00:00
Payment,A590,2008-09-11 22:00:00+00:00
Create Fine,A5922,2006-12-06 23:00:00+00:00
Insert Date Appeal to Prefecture,A5922,2007-04-29 22:00:00+00:00
Send Fine,A5922,2007-06-26 22:00:00+00:00
Insert Fine Notification,A5922,2007-07-05 22:00:00+00:00
Add penalty,A5922,2007-09-03 22:00:00+00:00
Send Appeal to Prefecture,A5922,2011-12-24 23:00:00+00:00
Create Fine,A823,2006-08-11 22:00:00+00:00
Send Fine,A823,2006-12-12 23:00:00+00:00
Insert Fine Notification,A823,2007-01-02 23:00:00+00:00
Appeal to Judge,A823,2007-02-19 23:00:00+00:00
Add penalty,A823,2007-03-03 23:00:00+00:00
Insert Date Appeal to Prefecture,A823,2007-03-11 23:00:00+00:00
Send Appeal to Prefecture,A823,2007-05-02 22:00:00+00:00
Payment,A823,2007-12-17 23:00:00+00:00
Create Fine,A8733,2007-02-05 23:00:00+00:00
Send Fine,A8733,2007-06-26 22:00:00+00:00
Insert Fine Notification,A8733,2007-07-05 22:00:00+00:00
Insert Date Appeal to Prefecture,A8733,2007-08-02 22:00:00+00:00
Add penalty,A8733,2007-09-03 22:00:00+00:00
Send Appeal to Prefecture,A8733,2007-09-03 22:00:00+00:00
Receive Result Appeal from Prefecture,A8733,2007-09-26 22:00:00+00:00
Notify Result Appeal to Offender,A8733,2007-10-05 22:00:00+00:00
Create Fine,C10852,2000-03-29 22:00:00+00:00
Send Fine,C10852,2000-03-29 22:00:00+00:00
Insert Fine Notification,C10852,2000-03-29 22:00:00+00:00
Add penalty,C10852,2000-05-28 22:00:00+00:00
Insert Date Appeal to Prefecture,C10852,2000-06-01 22:00:00+00:00
Send Appeal to Prefecture,C10852,2000-06-19 22:00:00+00:00
Payment,C10852,2000-09-10 22:00:00+00:00
Payment,C10852,2000-10-04 22:00:00+00:00
Payment,C10852,2000-11-05 23:00:00+00:00
Payment,C10852,2000-12-04 23:00:00+00:00
Payment,C10852,2001-01-08 23:00:00+00:00
Payment,C10852,2001-03-04 23:00:00+00:00
Payment,C10852,2001-05-01 22:00:00+00:00
Payment,C10852,2001-05-29 22:00:00+00:00
Payment,C10852,2001-07-02 22:00:00+00:00
Payment,C10852,2001-08-29 22:00:00+00:00
Create Fine,C11327,2000-04-05 22:00:00+00:00
Insert Date Appeal to Prefecture,C11327,2000-04-21 22:00:00+00:00
Send Appeal to Prefecture,C11327,2000-04-25 22:00:00+00:00
Send Fine,C11327,2000-07-08 22:00:00+00:00
Insert Fine Notification,C11327,2000-07-13 22:00:00+00:00
Payment,C11327,2000-08-09 22:00:00+00:00
Add penalty,C11327,2000-09-11 22:00:00+00:00
Payment,C11327,2001-02-15 23:00:00+00:00
Create Fine,C12875,2001-01-27 23:00:00+00:00
Insert Date Appeal to Prefecture,C12875,2001-03-13 23:00:00+00:00
Send Appeal to Prefecture,C12875,2001-04-04 22:00:00+00:00
Send Fine,C12875,2001-05-08 22:00:00+00:00
Create Fine,C13062,2001-04-08 22:00:00+00:00
Send Fine,C13062,2001-04-08 22:00:00+00:00
Insert Fine Notification,C13062,2001-04-08 22:00:00+00:00
